seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
4279876,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.674,0.09577779995743185,0.012706700013950467,0.7407407407407407,0.6631762652705061,0.6998158379373849,0.6036960985626283,0.6885245901639344,0.6433260393873085
4279876,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.72,0.09405890002381057,0.013934800052084029,0.7209653092006033,0.8342059336823735,0.7734627831715211,0.7181008902077152,0.5667447306791569,0.6335078534031413
4279876,TfidfVectorizer,LogisticRegression,{'C': 1},0.723,0.15117290010675788,0.012528599938377738,0.7262996941896025,0.8289703315881326,0.7742461287693562,0.7167630057803468,0.5807962529274004,0.6416558861578266
4279876,TfidfVectorizer,LogisticRegression,{'C': 10},0.698,0.1803941000252962,0.013246700051240623,0.7332185886402753,0.743455497382199,0.7383015597920277,0.649164677804296,0.6370023419203747,0.6430260047281324
4279876,TfidfVectorizer,KNeighbors,{'n_neighbors': 3},0.592,0.08130959991831332,0.14872359996661544,0.5854922279792746,0.9860383944153578,0.7347204161248374,0.7714285714285715,0.06323185011709602,0.11688311688311688
4279876,TfidfVectorizer,KNeighbors,{'n_neighbors': 5},0.584,0.09029750002082437,0.15752340003382415,0.5801838610827375,0.9912739965095986,0.7319587628865979,0.7619047619047619,0.03747072599531616,0.07142857142857142
4279876,TfidfVectorizer,KNeighbors,{'n_neighbors': 7},0.578,0.08605509996414185,0.15806049993261695,0.5766497461928934,0.9912739965095986,0.7291399229781772,0.6666666666666666,0.0234192037470726,0.04524886877828054
4279876,TfidfVectorizer,DecisionTree,{'max_depth': None},0.676,1.3844346000114456,0.012980800005607307,0.7172774869109948,0.7172774869109948,0.7172774869109948,0.6206088992974239,0.6206088992974239,0.6206088992974239
4279876,TfidfVectorizer,DecisionTree,{'max_depth': 10},0.666,0.2412890000268817,0.012713400064967573,0.6558018252933507,0.8778359511343804,0.7507462686567165,0.6995708154506438,0.38173302107728335,0.49393939393939396
4279876,TfidfVectorizer,DecisionTree,{'max_depth': 20},0.695,0.40404570009559393,0.01275069999974221,0.6908831908831908,0.8464223385689355,0.7607843137254902,0.7046979865771812,0.4918032786885246,0.5793103448275863
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 3}",0.716,3.636319800047204,0.013823000015690923,0.6898817345597897,0.9162303664921466,0.7871064467766117,0.799163179916318,0.44730679156908665,0.5735735735735735
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 5}",0.706,6.297097200062126,0.014713399927131832,0.6887686062246279,0.8883071553228621,0.7759146341463414,0.7547892720306514,0.4613583138173302,0.5726744186046512
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 7}",0.718,8.933757100021467,0.014857299975119531,0.7006896551724138,0.8865619546247818,0.7827426810477658,0.7636363636363637,0.4918032786885246,0.5982905982905983
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 3}",0.715,5.2680140000302345,0.013761800015345216,0.6925133689839572,0.9040139616055847,0.7842543527630583,0.7817460317460317,0.4613583138173302,0.5802650957290133
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 5}",0.705,9.058967599994503,0.0144884999608621,0.6935933147632312,0.8691099476439791,0.7714949651432997,0.7340425531914894,0.4847775175644028,0.5839210155148096
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 7}",0.716,13.048789500026032,0.016653900034725666,0.7067238912732475,0.8621291448516579,0.7767295597484277,0.7375415282392026,0.5199063231850117,0.6098901098901099
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 3}",0.715,7.010087999980897,0.01443540002219379,0.6951219512195121,0.8952879581151832,0.782608695652174,0.7709923664122137,0.47306791569086654,0.5863570391872278
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 5}",0.711,12.082271000021137,0.01567410002462566,0.6977715877437326,0.8743455497382199,0.7761425251742835,0.7446808510638298,0.4918032786885246,0.5923836389280677
4279876,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'max_depth': 7}",0.721,17.284110700013116,0.01734639995265752,0.7130434782608696,0.8586387434554974,0.7790973871733967,0.7387096774193549,0.5362997658079626,0.621438263229308
4279876,TfidfVectorizer,AdaBoost,{'n_estimators': 50},0.702,0.8984609000617638,0.021922099986113608,0.697274031563845,0.8481675392670157,0.7653543307086614,0.7128712871287128,0.5058548009367682,0.5917808219178082
